ID,Male,Female,Original Ask Amount,Original Offered Equity,Valuation Requested,DEAL,Uncertainty,Positive Finance,Negative Finance,Certainty,Happiness Positive,Happiness Negative,Positive Sociability,Positive Morality,Positive Ability,Positive Agency,Negative Sociability,Negative Morality,Negative Ability,Negative Agency,WPM,Word Count,Sentence Count,angry_overall,disgust_Overall,fear_Overall,happy_Overall,sad_Overall,surprise_Overall,Age,No. Of Entrepreneurs,Asian,black,indian,latino hispanic,middle eastern,white,Min Pitch,Max Pitch,Mean Pitch,Sd Pitch,Mean Intensity,Sd Intensity,Jitter,Shimmer,HNR,Energy,Industry,X_left_hand_avg_velocity,X_left_hand_STD_velocity,Y_left_hand_avg_velocity,Y_left_hand_STD_velocity,X_right_hand_avg_velocity,X_right_hand_STD_velocity,Y_right_hand_avg_velocity,Y_right_hand_STD_velocity,crossing_arms,Closed_Fist,Open_Palm,Pointing_Up,Thumb_Down,Thumb_Up,hand_distance,left_hand_height_binary,right_hand_height_binary,open_pose
S09E16P3,1,0,95000.00,0.10,950000.00,1,0.02,0.02,0.00,0.00,0.57,0.13,0.02,0.02,0.00,0.04,0.00,0.04,0.00,0.00,146.13,67.00,10,7.53,0.17,5.84,44.53,13.86,0.79,32.18,2,0,0,0,0,0,1,71.46,441.96,153.71,88.48,60.71,3.81,0.03,0.16,4.35,0.01,5,0.00030434815259817316,0.06385545657731784,-0.0005078568360284229,0.08745443148516492,-9.795179503793196e-05,0.0730508269642107,-0.0009806057885556232,0.15217033304515992,0.007155635062611807,0.0,0.017889087656529516,0.0,0.0,0.007155635062611807,0.9087221095334685,0.972,0.6688034188034188,0.1346153846153846
S05E25P3,0,1,75000.00,0.15,500000.00,0,0.02,0.01,0.01,0.01,0.81,0.08,0.06,0.02,0.09,0.03,0.00,0.03,0.00,0.00,168.24,264.00,24,8.83,0.17,12.98,31.61,14.49,4.56,32.21,2,0,0,0,0,0,1,129.13,412.97,251.71,76.70,70.14,5.58,0.03,0.14,8.01,0.01,4,8.743465542131484e-05,0.06502258923543222,0.0005751746343851849,0.08373225425816151,-0.00017401433811336034,0.08179214933957801,0.00048097032024116616,0.08255474185386713,0.018847006651884702,0.0,0.03547671840354767,0.009977827050997782,0.004434589800443459,0.0033259423503325942,0.5431034482758621,0.7908847184986595,0.7150395778364116,0.3629032258064516
S05E28P0,1,0,500000.00,0.12,4166667.00,1,0.02,0.00,0.00,0.00,0.54,0.11,0.04,0.02,0.04,0.07,0.04,0.09,0.00,0.00,122.98,90.00,10,16.75,1.51,10.57,12.73,22.81,1.29,29.72,3,0,0,0,0,0,1,98.08,289.00,166.56,54.16,69.21,4.80,0.03,0.12,4.23,0.02,6,-0.0005878439923089973,0.1428073303296366,-0.000986341154642946,0.14807783810602013,0.0006436509536209562,0.12121005618671944,-0.0008520974103354305,0.1674064321682609,0.19056603773584907,0.0,0.022641509433962263,0.0,0.0,0.0018867924528301887,0.8435897435897436,0.8202764976958525,0.7357512953367875,0.47214854111405835
S04E23P3,1,0,50000.00,0.20,250000.00,1,0.02,0.02,0.00,0.00,0.70,0.09,0.04,0.04,0.02,0.04,0.00,0.07,0.00,0.00,168.44,82.00,11,16.16,0.42,14.18,14.98,18.69,3.07,30.46,2,0,0,0,0,0,1,83.89,447.95,188.32,87.39,72.15,4.77,0.03,0.14,5.07,0.03,5,0.001508791443137895,0.052704375918441765,-0.0008511642615000427,0.06513553778684054,-0.0009496332634062996,0.055477190058396755,-0.0006793788855984137,0.06437636693122968,0.13056379821958458,0.0,0.002967359050445104,0.11572700296735905,0.0,0.0,0.7083333333333334,0.34275618374558303,0.1895910780669145,0.674074074074074
S09E03P1,1,0,500000.00,0.08,6666667.00,1,0.02,0.00,0.04,0.00,0.67,0.09,0.00,0.02,0.05,0.02,0.00,0.09,0.00,0.00,159.39,73.00,11,5.69,0.23,8.42,30.64,23.42,2.04,32.10,2,0,0,0,0,0,1,110.86,264.78,175.60,46.95,59.71,5.15,0.02,0.11,6.73,0.00,5,-0.00035174992559658516,0.08619241804039726,-0.00021410030452452888,0.140994069258219,0.0001929997346598845,0.07391346763397723,-0.00022413680162379498,0.14186413977297077,0.03169014084507042,0.0,0.0,0.0,0.0017605633802816902,0.03697183098591549,0.5176252319109462,0.9804772234273319,0.9337748344370861,0.1608695652173913
S12E07P2,1,0,200000.00,0.10,2000000.00,0,0.02,0.01,0.04,0.00,0.61,0.17,0.02,0.01,0.08,0.02,0.00,0.06,0.00,0.00,160.56,157.00,12,11.02,0.06,18.02,13.43,37.93,0.31,33.03,1,0,0,0,0,0,1,114.62,270.64,177.93,39.15,59.07,5.53,0.02,0.11,9.42,0.00,6,0.0005700566976890663,0.08531054999345739,0.0006796367559416004,0.08008557455290753,0.00014684958891435153,0.09567950271165554,0.0006937260296255543,0.0846256498270825,0.10498220640569395,0.0,0.0,0.0,0.0,0.04092526690391459,0.42248062015503873,0.8432122370936902,0.8159392789373814,0.3543307086614173
S12E16P1,0,1,300000.00,0.07,4285714.00,1,0.02,0.03,0.08,0.00,0.61,0.17,0.03,0.00,0.09,0.02,0.00,0.05,0.01,0.00,157.40,167.00,12,4.05,0.10,30.89,20.80,13.11,12.59,34.03,1,0,0,0,0,0,1,154.82,443.43,291.31,77.47,65.78,5.81,0.03,0.12,10.30,0.00,9,0.0006860314369201686,0.06987235738970748,0.00025866069793700986,0.07009568364411788,-0.0003494428157806374,0.04019823455199267,0.00036412506103515434,0.06063845573246234,0.011182108626198083,0.001597444089456869,0.01437699680511182,0.0,0.001597444089456869,0.17412140575079874,0.7964169381107492,0.7565359477124183,0.9378068739770867,0.7792207792207793
S05E28P2,1,0,250000.00,0.25,1000000.00,0,0.02,0.01,0.00,0.00,0.66,0.15,0.02,0.03,0.06,0.01,0.01,0.03,0.00,0.00,138.17,165.00,21,18.32,0.19,15.35,19.15,18.00,3.70,34.97,1,0,0,0,0,0,1,98.08,374.89,175.40,73.96,71.44,4.76,0.04,0.15,5.27,0.04,6,0.0003968204571005177,0.0661146048387488,0.0012353658676147446,0.1128346598339581,-3.802072792109303e-05,0.17325516942412816,0.0013340048251613494,0.1306483682005317,0.01171303074670571,0.0,0.0,0.0,0.0,0.008784773060029283,0.5442764578833693,0.7914438502673797,0.6335078534031413,0.3010752688172043
S10E03P1,1,0,100000.00,0.10,1000000.00,1,0.02,0.01,0.00,0.01,0.67,0.07,0.01,0.02,0.03,0.02,0.01,0.05,0.00,0.01,154.74,146.00,16,12.28,0.02,9.02,18.24,25.48,2.22,33.04,1,0,1,0,0,0,1,122.94,352.75,203.89,52.95,68.83,4.68,0.03,0.14,7.56,0.01,8,-0.00026245290523366704,0.06062904669680638,-0.00018276721852306381,0.0959618071141502,-1.4852103873043343e-05,0.06678854684022237,-8.97615698302881e-05,0.09072999431589748,0.136986301369863,0.0027397260273972603,0.0,0.0013698630136986301,0.0013698630136986301,0.023287671232876714,0.5612403100775194,0.8993808049535603,0.9817905918057663,0.41148325358851673
S09E15P2,1,0,75000.00,0.15,500000.00,0,0.02,0.02,0.07,0.02,0.68,0.02,0.00,0.02,0.09,0.09,0.00,0.02,0.00,0.00,121.79,79.00,8,3.56,0.15,17.85,17.11,29.18,0.46,29.66,2,1,0,0,0,0,1,152.52,357.06,251.01,50.33,71.14,6.27,0.02,0.10,10.39,0.01,13,0.0013903539392012558,0.1265739968722685,0.0007254612596729169,0.13877353695802555,-0.0003122064131724698,0.09135084465220658,0.0007128261312653763,0.1445002596574141,0.16666666666666666,0.0,0.04040404040404041,0.0025252525252525255,0.0,0.007575757575757576,0.5,0.7176470588235294,0.47,0.4437299035369775
